month,exchange_value
2003-01,0.5629
2003-02,0.5843
2003-03,0.6136
2003-04,0.6045
2003-05,0.6318
2003-06,0.6564
2003-07,0.676
2003-08,0.6538
2003-09,0.6402
2003-10,0.683
2003-11,0.6986
2003-12,0.7265
2004-01,0.7576
2004-02,0.7566
2004-03,0.7725
2004-04,0.7671
2004-05,0.7198
2004-06,0.7067
2004-07,0.7036
2004-08,0.7042
2004-09,0.7039
2004-10,0.7232
2004-11,0.746
2004-12,0.7754
2005-01,0.779
2005-02,0.7723
2005-03,0.7847
2005-04,0.7697
2005-05,0.7796
2005-06,0.7498
2005-07,0.7516
2005-08,0.7618
2005-09,0.7609
2005-10,0.7628
2005-11,0.7451
2005-12,0.741
2006-01,0.7379
2006-02,0.7542
2006-03,0.7429
2006-04,0.7177
2006-05,0.7607
2006-06,0.748
2006-07,0.7436
2006-08,0.7632
2006-09,0.7663
2006-10,0.7484
2006-11,0.7752
2006-12,0.7914
2007-01,0.796
2007-02,0.7746
2007-03,0.7863
2007-04,0.8166
2007-05,0.8287
2007-06,0.8313
2007-07,0.8596
2007-08,0.8537
2007-09,0.8157
2007-10,0.8931
2007-11,0.9186
2007-12,0.8828
2008-01,0.8812
2008-02,0.9035
2008-03,0.9409
2008-04,0.9067
2008-05,0.9338
2008-06,0.9548
2008-07,0.9535
2008-08,0.9317
2008-09,0.836
2008-10,0.7937
2008-11,0.6823
2008-12,0.6447
2009-01,0.7083
2009-02,0.632
2009-03,0.6301
2009-04,0.6941
2009-05,0.729
2009-06,0.8101
2009-07,0.8105
2009-08,0.8428
2009-09,0.8306
2009-10,0.873
2009-11,0.9083
2009-12,0.9249
2010-01,0.9133
2010-02,0.8877
2010-03,0.9001
2010-04,0.9212
2010-05,0.9255
2010-06,0.8396
2010-07,0.838
2010-08,0.9135
2010-09,0.9093
2010-10,0.971
2010-11,0.9878
2010-12,0.9675
2011-01,1.02
2011-02,1.0122
2011-03,1.0159
2011-04,1.0387
2011-05,1.097
2011-06,1.0716
2011-07,1.0754
2011-08,1.093
2011-09,1.075
2011-10,0.9647
2011-11,1.0302
2011-12,1.0227
2012-01,1.038
2012-02,1.07
2012-03,1.0803
2012-04,1.0426
2012-05,1.0345
2012-06,0.9688
2012-07,1.0239
2012-08,1.0518
2012-09,1.023
2012-10,1.0374
2012-11,1.0402
2012-12,1.0433
2013-01,1.0492
2013-02,1.0412
2013-03,1.021
2013-04,1.0421
2013-05,1.0285
2013-06,0.977
2013-07,0.9247
2013-08,0.8919
2013-09,0.9055
2013-10,0.9387
2013-11,0.9438
2013-12,0.9098
2014-01,0.8924
2014-02,0.8777
2014-03,0.8929
2014-04,0.9252
2014-05,0.9275
2014-06,0.925
2014-07,0.9488
2014-08,0.9304
2014-09,0.9276
2014-10,0.8734
2014-11,0.8701
2014-12,0.8521
2015-01,0.8118
2015-02,0.7818
2015-03,0.778
2015-04,0.7615
2015-05,0.7813
2015-06,0.7613
2015-07,0.7664
2015-08,0.7277
2015-09,0.7036
2015-10,0.7044
2015-11,0.7141
2015-12,0.732
2016-01,0.7166
2016-02,0.7084
2016-03,0.7172
2016-04,0.7672
2016-05,0.7641
2016-06,0.7242
2016-07,0.7485
2016-08,0.7567
2016-09,0.7542
2016-10,0.7664
2016-11,0.7659
2016-12,0.7411
2017-01,0.7231
2017-02,0.7564
2017-03,0.7664
2017-04,0.7601
2017-05,0.7534
2017-06,0.7387
2017-07,0.7652
2017-08,0.7974
2017-09,0.798
2017-10,0.7825
2017-11,0.7676
2017-12,0.7624
2018-01,0.7824
2018-02,0.8028
2018-03,0.7762
2018-04,0.7658
2018-05,0.7488
2018-06,0.7566
2018-07,0.7322
2018-08,0.7402
2018-09,0.7174
2018-10,0.7223
2018-11,0.7189
2018-12,0.736
2019-01,0.7
2019-02,0.726
2019-03,0.708
2019-04,0.7117
2019-05,0.7038
2019-06,0.6955
2019-07,0.6963
2019-08,0.6858
2019-09,0.6758
2019-10,0.6703
2019-11,0.6914
2019-12,0.6819
2020-01,0.6982
2020-02,0.6688
2020-03,0.6524
2020-04,0.6107
2020-05,0.6424
2020-06,0.6785
2020-07,0.6917
2020-08,0.7107
2020-09,0.7375
2020-10,0.7189
2020-11,0.7045
2020-12,0.7355
2021-01,0.7657
2021-02,0.7625
2021-03,0.7776
2021-04,0.7604
2021-05,0.7758
2021-06,0.7765
2021-07,0.7472
2021-08,0.7364
2021-09,0.7369
2021-10,0.7271
2021-11,0.7534
2021-12,0.7132
2022-01,0.7195
2022-02,0.711
2022-03,0.7248
2022-04,0.7493
2022-05,0.7058
2022-06,0.7164
2022-07,0.6789
2022-08,0.7035
2022-09,0.678
2022-10,0.6501
2022-11,0.6392
2022-12,0.6804
2023-01,0.673
2023-02,0.7067
2023-03,0.6768
2023-04,0.6784
2023-05,0.6636
2023-06,0.6577
2023-07,0.6678
2023-08,0.6611
2023-09,0.6449
2023-10,0.6375
2023-11,0.6363
2023-12,0.666
2024-01,0.6771
2024-02,0.6566
