month,exchange_value
2003-01,1.5975
2003-02,1.6405
2003-03,1.5755
2003-04,1.5767
2003-05,1.6103
2003-06,1.6372
2003-07,1.6626
2003-08,1.6045
2003-09,1.574
2003-10,1.6667
2003-11,1.6786
2003-12,1.7209
2004-01,1.7902
2004-02,1.8182
2004-03,1.868
2004-04,1.8564
2004-05,1.772
2004-06,1.8359
2004-07,1.816
2004-08,1.8273
2004-09,1.794
2004-10,1.7976
2004-11,1.8323
2004-12,1.9297
2005-01,1.9058
2005-02,1.8792
2005-03,1.9206
2005-04,1.8789
2005-05,1.8959
2005-06,1.812
2005-07,1.7708
2005-08,1.7695
2005-09,1.8279
2005-10,1.7558
2005-11,1.763
2005-12,1.729
2006-01,1.7404
2006-02,1.7781
2006-03,1.7473
2006-04,1.7389
2006-05,1.8286
2006-06,1.8686
2006-07,1.841
2006-08,1.8711
2006-09,1.905
2006-10,1.8861
2006-11,1.9091
2006-12,1.9794
2007-01,1.9736
2007-02,1.9686
2007-03,1.9579
2007-04,1.9786
2007-05,1.9993
2007-06,1.9804
2007-07,2.0161
2007-08,2.0309
2007-09,2.0165
2007-10,2.0436
2007-11,2.0818
2007-12,2.0658
2008-01,1.9824
2008-02,1.9687
2008-03,1.985
2008-04,1.9774
2008-05,1.9749
2008-06,1.9666
2008-07,1.993
2008-08,1.9743
2008-09,1.7853
2008-10,1.7804
2008-11,1.5855
2008-12,1.484
2009-01,1.452
2009-02,1.4228
2009-03,1.3989
2009-04,1.4402
2009-05,1.4881
2009-06,1.6448
2009-07,1.6524
2009-08,1.6956
2009-09,1.6168
2009-10,1.595
2009-11,1.641
2009-12,1.6626
2010-01,1.6109
2010-02,1.5924
2010-03,1.4974
2010-04,1.529
2010-05,1.5242
2010-06,1.4673
2010-07,1.5126
2010-08,1.5897
2010-09,1.5472
2010-10,1.5829
2010-11,1.605
2010-12,1.5603
2011-01,1.549
2011-02,1.6124
2011-03,1.6309
2011-04,1.6132
2011-05,1.669
2011-06,1.6391
2011-07,1.607
2011-08,1.6278
2011-09,1.6179
2011-10,1.5474
2011-11,1.5946
2011-12,1.5698
2012-01,1.5655
2012-02,1.5849
2012-03,1.5953
2012-04,1.6022
2012-05,1.6221
2012-06,1.5383
2012-07,1.5679
2012-08,1.5596
2012-09,1.5889
2012-10,1.6142
2012-11,1.6142
2012-12,1.6104
2013-01,1.6255
2013-02,1.5744
2013-03,1.5033
2013-04,1.5232
2013-05,1.5578
2013-06,1.5349
2013-07,1.5247
2013-08,1.5145
2013-09,1.5544
2013-10,1.6208
2013-11,1.5922
2013-12,1.6365
2014-01,1.6441
2014-02,1.6307
2014-03,1.6712
2014-04,1.6639
2014-05,1.69
2014-06,1.6756
2014-07,1.7147
2014-08,1.6832
2014-09,1.6502
2014-10,1.6216
2014-11,1.5986
2014-12,1.5743
2015-01,1.5361
2015-02,1.5027
2015-03,1.5371
2015-04,1.4823
2015-05,1.5137
2015-06,1.5187
2015-07,1.5617
2015-08,1.5603
2015-09,1.5341
2015-10,1.5162
2015-11,1.5428
2015-12,1.5074
2016-01,1.4686
2016-02,1.4367
2016-03,1.3948
2016-04,1.4204
2016-05,1.4666
2016-06,1.4395
2016-07,1.3281
2016-08,1.3209
2016-09,1.3273
2016-10,1.284
2016-11,1.2218
2016-12,1.2596
2017-01,1.2256
2017-02,1.2643
2017-03,1.2318
2017-04,1.2479
2017-05,1.2917
2017-06,1.2894
2017-07,1.2951
2017-08,1.3206
2017-09,1.2972
2017-10,1.3268
2017-11,1.3257
2017-12,1.3505
2018-01,1.3596
2018-02,1.4247
2018-03,1.3755
2018-04,1.4032
2018-05,1.3611
2018-06,1.3358
2018-07,1.3133
2018-08,1.312
2018-09,1.2833
2018-10,1.3032
2018-11,1.2974
2018-12,1.2742
2019-01,1.2598
2019-02,1.3094
2019-03,1.3222
2019-04,1.3144
2019-05,1.3091
2019-06,1.2621
2019-07,1.2644
2019-08,1.2145
2019-09,1.2086
2019-10,1.2242
2019-11,1.295
2019-12,1.2936
2020-01,1.3128
2020-02,1.3006
2020-03,1.2791
2020-04,1.2394
2020-05,1.2509
2020-06,1.2472
2020-07,1.2474
2020-08,1.3053
2020-09,1.3416
2020-10,1.2901
2020-11,1.2904
2020-12,1.3392
2021-01,1.3551
2021-02,1.3672
2021-03,1.3938
2021-04,1.3825
2021-05,1.3913
2021-06,1.4168
2021-07,1.378
2021-08,1.3886
2021-09,1.379
2021-10,1.3572
2021-11,1.3679
2021-12,1.3308
2022-01,1.3469
2022-02,1.3505
2022-03,1.3318
2022-04,1.3114
2022-05,1.2523
2022-06,1.2472
2022-07,1.2048
2022-08,1.2278
2022-09,1.1541
2022-10,1.1272
2022-11,1.146
2022-12,1.2252
2023-01,1.197
2023-02,1.2308
2023-03,1.2034
2023-04,1.2403
2023-05,1.2495
2023-06,1.2536
2023-07,1.2695
2023-08,1.275
2023-09,1.2594
2023-10,1.213
2023-11,1.2127
2023-12,1.2682
2024-01,1.2632
2024-02,1.2727
