name,bioguideId,state,party,district,url
"Welch, Peter",W000800,Vermont,Democratic,N/A,https://api.congress.gov/v3/member/W000800?format=json
"Moreno, Bernie",M001242,Ohio,Republican,N/A,https://api.congress.gov/v3/member/M001242?format=json
"McIver, LaMonica",M001229,New Jersey,Democratic,10,https://api.congress.gov/v3/member/M001229?format=json
"Houlahan, Chrissy",H001085,Pennsylvania,Democratic,6,https://api.congress.gov/v3/member/H001085?format=json
"Moody, Ashley",M001244,Florida,Republican,N/A,https://api.congress.gov/v3/member/M001244?format=json
"Menendez, Robert",M001226,New Jersey,Democratic,8,https://api.congress.gov/v3/member/M001226?format=json
"Foushee, Valerie P.",F000477,North Carolina,Democratic,4,https://api.congress.gov/v3/member/F000477?format=json
"Thanedar, Shri",T000488,Michigan,Democratic,13,https://api.congress.gov/v3/member/T000488?format=json
"Patronis, Jimmy",P000622,Florida,Republican,1,https://api.congress.gov/v3/member/P000622?format=json
"Fine, Randy",F000484,Florida,Republican,6,https://api.congress.gov/v3/member/F000484?format=json
"Scholten, Hillary J.",S001221,Michigan,Democratic,3,https://api.congress.gov/v3/member/S001221?format=json
"Johnson, Mike",J000299,Louisiana,Republican,4,https://api.congress.gov/v3/member/J000299?format=json
"Randall, Emily",R000621,Washington,Democratic,6,https://api.congress.gov/v3/member/R000621?format=json
"Moore, Riley M.",M001235,West Virginia,Republican,2,https://api.congress.gov/v3/member/M001235?format=json
"Baumgartner, Michael",B001322,Washington,Republican,5,https://api.congress.gov/v3/member/B001322?format=json
"Wied, Tony",W000829,Wisconsin,Republican,8,https://api.congress.gov/v3/member/W000829?format=json
"Van Orden, Derrick",V000135,Wisconsin,Republican,3,https://api.congress.gov/v3/member/V000135?format=json
"Perez, Marie Gluesenkamp",G000600,Washington,Democratic,3,https://api.congress.gov/v3/member/G000600?format=json
"Hageman, Harriet M.",H001096,Wyoming,Republican,N/A,https://api.congress.gov/v3/member/H001096?format=json
"Balint, Becca",B001318,Vermont,Democratic,N/A,https://api.congress.gov/v3/member/B001318?format=json
"Strickland, Marilyn",S001159,Washington,Democratic,10,https://api.congress.gov/v3/member/S001159?format=json
"Fitzgerald, Scott",F000471,Wisconsin,Republican,5,https://api.congress.gov/v3/member/F000471?format=json
"Tiffany, Thomas P.",T000165,Wisconsin,Republican,7,https://api.congress.gov/v3/member/T000165?format=json
"Miller, Carol D.",M001205,West Virginia,Republican,1,https://api.congress.gov/v3/member/M001205?format=json
"Steil, Bryan",S001213,Wisconsin,Republican,1,https://api.congress.gov/v3/member/S001213?format=json
"Schrier, Kim",S001216,Washington,Democratic,8,https://api.congress.gov/v3/member/S001216?format=json
"Jayapal, Pramila",J000298,Washington,Democratic,7,https://api.congress.gov/v3/member/J000298?format=json
"Grothman, Glenn",G000576,Wisconsin,Republican,6,https://api.congress.gov/v3/member/G000576?format=json
"Newhouse, Dan",N000189,Washington,Republican,4,https://api.congress.gov/v3/member/N000189?format=json
