month,exchange_value
2003-01,1.575
2003-02,1.5207
2003-03,1.4853
2003-04,1.4729
2003-05,1.4191
2003-06,1.3696
2003-07,1.3492
2003-08,1.396
2003-09,1.3876
2003-10,1.3481
2003-11,1.3323
2003-12,1.3023
2004-01,1.29
2004-02,1.3385
2004-03,1.3395
2004-04,1.3101
2004-05,1.374
2004-06,1.3687
2004-07,1.3325
2004-08,1.3314
2004-09,1.3071
2004-10,1.2629
2004-11,1.2229
2004-12,1.1856
2005-01,1.2108
2005-02,1.2405
2005-03,1.2425
2005-04,1.2146
2005-05,1.2552
2005-06,1.2471
2005-07,1.2418
2005-08,1.2136
2005-09,1.1855
2005-10,1.1657
2005-11,1.1765
2005-12,1.1682
2006-01,1.1565
2006-02,1.1401
2006-03,1.1365
2006-04,1.1718
2006-05,1.113
2006-06,1.1003
2006-07,1.1112
2006-08,1.1312
2006-09,1.1056
2006-10,1.1154
2006-11,1.1313
2006-12,1.1445
2007-01,1.1647
2007-02,1.1756
2007-03,1.1711
2007-04,1.1556
2007-05,1.1088
2007-06,1.0602
2007-07,1.0553
2007-08,1.0565
2007-09,1.056
2007-10,0.9929
2007-11,0.9497
2007-12,1.0
2008-01,0.9922
2008-02,0.9939
2008-03,0.9867
2008-04,1.0268
2008-05,1.0187
2008-06,1.0011
2008-07,1.022
2008-08,1.0251
2008-09,1.0698
2008-10,1.0607
2008-11,1.1866
2008-12,1.237
2009-01,1.2101
2009-02,1.2408
2009-03,1.2891
2009-04,1.264
2009-05,1.1868
2009-06,1.087
2009-07,1.1446
2009-08,1.065
2009-09,1.1028
2009-10,1.0773
2009-11,1.0742
2009-12,1.043
2010-01,1.0377
2010-02,1.0651
2010-03,1.0421
2010-04,1.0073
2010-05,1.0134
2010-06,1.0476
2010-07,1.0622
2010-08,1.0227
2010-09,1.0497
2010-10,1.0214
2010-11,1.0133
2010-12,1.016
2011-01,0.9903
2011-02,0.9921
2011-03,0.9742
2011-04,0.9629
2011-05,0.9492
2011-06,0.9713
2011-07,0.9608
2011-08,0.9593
2011-09,0.9751
2011-10,1.044
2011-11,1.02
2011-12,1.0172
2012-01,1.0089
2012-02,0.9984
2012-03,0.9848
2012-04,0.9916
2012-05,0.9839
2012-06,1.0378
2012-07,1.0193
2012-08,1.0017
2012-09,0.9862
2012-10,0.9827
2012-11,0.9973
2012-12,0.9929
2013-01,0.9859
2013-02,0.9987
2013-03,1.0285
2013-04,1.0166
2013-05,1.0083
2013-06,1.029
2013-07,1.0499
2013-08,1.0338
2013-09,1.0532
2013-10,1.0333
2013-11,1.0442
2013-12,1.0632
2014-01,1.0634
2014-02,1.1074
2014-03,1.109
2014-04,1.1026
2014-05,1.0965
2014-06,1.0894
2014-07,1.0652
2014-08,1.0918
2014-09,1.0923
2014-10,1.1171
2014-11,1.1319
2014-12,1.1343
2015-01,1.1725
2015-02,1.2577
2015-03,1.2535
2015-04,1.261
2015-05,1.2191
2015-06,1.2547
2015-07,1.2559
2015-08,1.3141
2015-09,1.318
2015-10,1.324
2015-11,1.3093
2015-12,1.3372
2016-01,1.397
2016-02,1.4005
2016-03,1.3404
2016-04,1.3047
2016-05,1.2544
2016-06,1.3089
2016-07,1.2897
2016-08,1.3096
2016-09,1.3107
2016-10,1.3138
2016-11,1.3377
2016-12,1.333
2017-01,1.3437
2017-02,1.3088
2017-03,1.3345
2017-04,1.3388
2017-05,1.3653
2017-06,1.3484
2017-07,1.3
2017-08,1.254
2017-09,1.2372
2017-10,1.2507
2017-11,1.289
2017-12,1.2705
2018-01,1.2507
2018-02,1.228
2018-03,1.284
2018-04,1.2918
2018-05,1.2873
2018-06,1.2948
2018-07,1.3213
2018-08,1.3006
2018-09,1.3182
2018-10,1.2799
2018-11,1.3108
2018-12,1.319
2019-01,1.3591
2019-02,1.3095
2019-03,1.3277
2019-04,1.3344
2019-05,1.3417
2019-06,1.3471
2019-07,1.3124
2019-08,1.3202
2019-09,1.3332
2019-10,1.3235
2019-11,1.3145
2019-12,1.3298
2020-01,1.2998
2020-02,1.3295
2020-03,1.3334
2020-04,1.4222
2020-05,1.4102
2020-06,1.3603
2020-07,1.3579
2020-08,1.3408
2020-09,1.3043
2020-10,1.3289
2020-11,1.3255
2020-12,1.2958
2021-01,1.2781
2021-02,1.2826
2021-03,1.2652
2021-04,1.2569
2021-05,1.2275
2021-06,1.2031
2021-07,1.2405
2021-08,1.2501
2021-09,1.2615
2021-10,1.2657
2021-11,1.2355
2021-12,1.2778
2022-01,1.2757
2022-02,1.2688
2022-03,1.2709
2022-04,1.2507
2022-05,1.2884
2022-06,1.267
2022-07,1.2915
2022-08,1.283
2022-09,1.316
2022-10,1.3651
2022-11,1.3639
2022-12,1.3427
2023-01,1.3664
2023-02,1.3335
2023-03,1.3597
2023-04,1.3435
2023-05,1.3541
2023-06,1.3441
2023-07,1.3243
2023-08,1.3289
2023-09,1.3582
2023-10,1.3666
2023-11,1.3879
2023-12,1.3495
2024-01,1.331
2024-02,1.338
