month,exchange_value
2003-01,8.28
2003-02,8.2768
2003-03,8.2775
2003-04,8.2773
2003-05,8.2771
2003-06,8.2768
2003-07,8.2775
2003-08,8.2772
2003-09,8.2771
2003-10,8.2771
2003-11,8.2766
2003-12,8.2772
2004-01,8.2769
2004-02,8.277
2004-03,8.2768
2004-04,8.2769
2004-05,8.2771
2004-06,8.2767
2004-07,8.2767
2004-08,8.277
2004-09,8.2766
2004-10,8.2766
2004-11,8.2765
2004-12,8.2765
2005-01,8.2765
2005-02,8.2765
2005-03,8.2765
2005-04,8.2765
2005-05,8.2765
2005-06,8.2765
2005-07,8.2765
2005-08,8.1046
2005-09,8.0949
2005-10,8.092
2005-11,8.086
2005-12,8.0798
2006-01,8.0702
2006-02,8.0616
2006-03,8.039
2006-04,8.021
2006-05,8.0165
2006-06,8.0184
2006-07,7.9924
2006-08,7.973
2006-09,7.9533
2006-10,7.904
2006-11,7.8714
2006-12,7.835
2007-01,7.8051
2007-02,7.7575
2007-03,7.7435
2007-04,7.7296
2007-05,7.7065
2007-06,7.6483
2007-07,7.6055
2007-08,7.567
2007-09,7.5462
2007-10,7.5158
2007-11,7.4582
2007-12,7.401
2008-01,7.2946
2008-02,7.1845
2008-03,7.1035
2008-04,7.0116
2008-05,6.9876
2008-06,6.9325
2008-07,6.8608
2008-08,6.8423
2008-09,6.8215
2008-10,6.8485
2008-11,6.8373
2008-12,6.8842
2009-01,6.8225
2009-02,6.847
2009-03,6.8438
2009-04,6.8339
2009-05,6.818
2009-06,6.8264
2009-07,6.8331
2009-08,6.8308
2009-09,6.8295
2009-10,6.826
2009-11,6.8268
2009-12,6.827
2010-01,6.8273
2010-02,6.826
2010-03,6.8263
2010-04,6.8263
2010-05,6.8245
2010-06,6.8275
2010-07,6.7807
2010-08,6.774
2010-09,6.8102
2010-10,6.6895
2010-11,6.6892
2010-12,6.663
2011-01,6.5895
2011-02,6.5937
2011-03,6.57
2011-04,6.5477
2011-05,6.492
2011-06,6.478
2011-07,6.4645
2011-08,6.4337
2011-09,6.3812
2011-10,6.3745
2011-11,6.3547
2011-12,6.3655
2012-01,6.294
2012-02,6.3076
2012-03,6.3001
2012-04,6.2979
2012-05,6.3089
2012-06,6.3692
2012-07,6.3487
2012-08,6.368
2012-09,6.3465
2012-10,6.284
2012-11,6.2393
2012-12,6.2277
2013-01,6.2301
2013-02,6.2265
2013-03,6.2226
2013-04,6.2078
2013-05,6.1647
2013-06,6.1312
2013-07,6.1325
2013-08,6.1302
2013-09,6.1204
2013-10,6.12
2013-11,6.0993
2013-12,6.0927
2014-01,6.0504
2014-02,6.06
2014-03,6.146
2014-04,6.2064
2014-05,6.2591
2014-06,6.2471
2014-07,6.1995
2014-08,6.1793
2014-09,6.148
2014-10,6.138
2014-11,6.1178
2014-12,6.1515
2015-01,6.2046
2015-02,6.2594
2015-03,6.272
2015-04,6.1976
2015-05,6.2018
2015-06,6.1985
2015-07,6.2008
2015-08,6.2087
2015-09,6.363
2015-10,6.3559
2015-11,6.318
2015-12,6.3883
2016-01,6.5338
2016-02,6.5778
2016-03,6.55
2016-04,6.4776
2016-05,6.4738
2016-06,6.5748
2016-07,6.6547
2016-08,6.6421
2016-09,6.6713
2016-10,6.6685
2016-11,6.763
2016-12,6.883
2017-01,6.9575
2017-02,6.8768
2017-03,6.8794
2017-04,6.8832
2017-05,6.89
2017-06,6.8029
2017-07,6.7984
2017-08,6.717
2017-09,6.5552
2017-10,6.6533
2017-11,6.6018
2017-12,6.6137
2018-01,6.491
2018-02,6.2969
2018-03,6.3565
2018-04,6.2785
2018-05,6.3325
2018-06,6.418
2018-07,6.6632
2018-08,6.8154
2018-09,6.8427
2018-10,6.868
2018-11,6.9205
2018-12,6.8798
2019-01,6.8597
2019-02,6.7426
2019-03,6.7048
2019-04,6.7102
2019-05,6.7319
2019-06,6.9028
2019-07,6.8487
2019-08,6.8972
2019-09,7.1786
2019-10,7.1473
2019-11,7.0368
2019-12,7.038
2020-01,6.9642
2020-02,7.0208
2020-03,6.9595
2020-04,7.0989
2020-05,7.0622
2020-06,7.1263
2020-07,7.0703
2020-08,6.9799
2020-09,6.8272
2020-10,6.7898
2020-11,6.6899
2020-12,6.5705
2021-01,6.4601
2021-02,6.4669
2021-03,6.4648
2021-04,6.5645
2021-05,6.4749
2021-06,6.3796
2021-07,6.4679
2021-08,6.462
2021-09,6.4586
2021-10,6.4434
2021-11,6.3972
2021-12,6.3641
2022-01,6.355
2022-02,6.361
2022-03,6.3116
2022-04,6.3625
2022-05,6.6079
2022-06,6.6858
2022-07,6.7
2022-08,6.7674
2022-09,6.9066
2022-10,7.1103
2022-11,7.273
2022-12,7.0424
2023-01,6.9135
2023-02,6.7406
2023-03,6.8656
2023-04,6.8776
2023-05,6.9164
2023-06,7.0934
2023-07,7.24
2023-08,7.1775
2023-09,7.2606
2023-10,7.296
2023-11,7.3175
2023-12,7.1386
2024-01,7.1426
2024-02,7.1799
