month,exchange_value
2003-01,1.0361
2003-02,1.0761
2003-03,1.0835
2003-04,1.0904
2003-05,1.1238
2003-06,1.1744
2003-07,1.158
2003-08,1.1252
2003-09,1.0872
2003-10,1.1708
2003-11,1.1454
2003-12,1.1956
2004-01,1.2592
2004-02,1.2426
2004-03,1.2431
2004-04,1.2358
2004-05,1.1937
2004-06,1.221
2004-07,1.2158
2004-08,1.2034
2004-09,1.2179
2004-10,1.24
2004-11,1.2741
2004-12,1.3308
2005-01,1.3476
2005-02,1.3017
2005-03,1.3189
2005-04,1.2896
2005-05,1.2857
2005-06,1.2232
2005-07,1.1957
2005-08,1.2195
2005-09,1.2447
2005-10,1.1914
2005-11,1.1998
2005-12,1.1702
2006-01,1.198
2006-02,1.2092
2006-03,1.1899
2006-04,1.2124
2006-05,1.2607
2006-06,1.2824
2006-07,1.2793
2006-08,1.2778
2006-09,1.2833
2006-10,1.2744
2006-11,1.2771
2006-12,1.3316
2007-01,1.3286
2007-02,1.3021
2007-03,1.3173
2007-04,1.3374
2007-05,1.36
2007-06,1.344
2007-07,1.3627
2007-08,1.3682
2007-09,1.3641
2007-10,1.4229
2007-11,1.4435
2007-12,1.4657
2008-01,1.4738
2008-02,1.4851
2008-03,1.5195
2008-04,1.5615
2008-05,1.5458
2008-06,1.555
2008-07,1.5778
2008-08,1.5567
2008-09,1.4522
2008-10,1.4058
2008-11,1.2719
2008-12,1.2634
2009-01,1.3946
2009-02,1.2808
2009-03,1.258
2009-04,1.3223
2009-05,1.3267
2009-06,1.4192
2009-07,1.4186
2009-08,1.4416
2009-09,1.4235
2009-10,1.4532
2009-11,1.4828
2009-12,1.51
2010-01,1.4419
2010-02,1.3904
2010-03,1.3516
2010-04,1.3569
2010-05,1.3183
2010-06,1.2266
2010-07,1.2464
2010-08,1.3174
2010-09,1.2813
2010-10,1.3754
2010-11,1.3888
2010-12,1.3149
2011-01,1.3371
2011-02,1.3793
2011-03,1.3813
2011-04,1.4215
2011-05,1.487
2011-06,1.4431
2011-07,1.4508
2011-08,1.4202
2011-09,1.4283
2011-10,1.3281
2011-11,1.3676
2011-12,1.3487
2012-01,1.3061
2012-02,1.3179
2012-03,1.332
2012-04,1.3325
2012-05,1.3226
2012-06,1.242
2012-07,1.2584
2012-08,1.2299
2012-09,1.2566
2012-10,1.29
2012-11,1.2937
2012-12,1.3066
2013-01,1.3195
2013-02,1.3692
2013-03,1.2988
2013-04,1.2857
2013-05,1.3192
2013-06,1.3098
2013-07,1.306
2013-08,1.3217
2013-09,1.3164
2013-10,1.3534
2013-11,1.3488
2013-12,1.3552
2014-01,1.367
2014-02,1.3523
2014-03,1.3763
2014-04,1.3804
2014-05,1.3867
2014-06,1.3606
2014-07,1.3681
2014-08,1.3436
2014-09,1.3124
2014-10,1.2618
2014-11,1.2487
2014-12,1.249
2015-01,1.2015
2015-02,1.1337
2015-03,1.119
2015-04,1.0768
2015-05,1.1194
2015-06,1.0913
2015-07,1.1084
2015-08,1.0962
2015-09,1.1263
2015-10,1.12
2015-11,1.1026
2015-12,1.062
2016-01,1.0803
2016-02,1.0888
2016-03,1.0847
2016-04,1.1385
2016-05,1.1516
2016-06,1.1165
2016-07,1.1145
2016-08,1.1176
2016-09,1.1194
2016-10,1.121
2016-11,1.1042
2016-12,1.0634
2017-01,1.0416
2017-02,1.0758
2017-03,1.0564
2017-04,1.0655
2017-05,1.0912
2017-06,1.1214
2017-07,1.1367
2017-08,1.1799
2017-09,1.1878
2017-10,1.1745
2017-11,1.1618
2017-12,1.191
2018-01,1.205
2018-02,1.2482
2018-03,1.2216
2018-04,1.2288
2018-05,1.2
2018-06,1.1679
2018-07,1.1604
2018-08,1.1666
2018-09,1.1566
2018-10,1.1567
2018-11,1.1396
2018-12,1.1356
2019-01,1.1357
2019-02,1.1474
2019-03,1.1376
2019-04,1.121
2019-05,1.1246
2019-06,1.1206
2019-07,1.1307
2019-08,1.1062
2019-09,1.0968
2019-10,1.0932
2019-11,1.1169
2019-12,1.1075
2020-01,1.1166
2020-02,1.1062
2020-03,1.1164
2020-04,1.0934
2020-05,1.0998
2020-06,1.1123
2020-07,1.1259
2020-08,1.175
2020-09,1.1949
2020-10,1.1752
2020-11,1.1634
2020-12,1.2039
2021-01,1.2254
2021-02,1.207
2021-03,1.2054
2021-04,1.1772
2021-05,1.2059
2021-06,1.2241
2021-07,1.1857
2021-08,1.1873
2021-09,1.185
2021-10,1.1598
2021-11,1.1591
2021-12,1.1323
2022-01,1.129
2022-02,1.1239
2022-03,1.1103
2022-04,1.1043
2022-05,1.0521
2022-06,1.0646
2022-07,1.0409
2022-08,1.027
2022-09,0.995
2022-10,0.9809
2022-11,0.9871
2022-12,1.0498
2023-01,1.0559
2023-02,1.0917
2023-03,1.0674
2023-04,1.0891
2023-05,1.097
2023-06,1.0752
2023-07,1.0919
2023-08,1.0971
2023-09,1.0787
2023-10,1.05
2023-11,1.0538
2023-12,1.0878
2024-01,1.0957
2024-02,1.0865
