month,exchange_value
2003-01,119.86
2003-02,120.47
2003-03,117.93
2003-04,118.25
2003-05,118.56
2003-06,118.52
2003-07,119.45
2003-08,120.0
2003-09,116.15
2003-10,110.61
2003-11,111.2
2003-12,109.61
2004-01,106.95
2004-02,105.59
2004-03,108.93
2004-04,103.7
2004-05,110.34
2004-06,110.45
2004-07,108.24
2004-08,111.08
2004-09,109.62
2004-10,110.45
2004-11,106.41
2004-12,102.78
2005-01,102.83
2005-02,103.93
2005-03,104.37
2005-04,107.57
2005-05,105.07
2005-06,108.42
2005-07,111.68
2005-08,112.12
2005-09,110.16
2005-10,114.17
2005-11,116.63
2005-12,120.62
2006-01,116.34
2006-02,117.85
2006-03,116.18
2006-04,117.82
2006-05,113.06
2006-06,112.43
2006-07,114.92
2006-08,114.96
2006-09,117.21
2006-10,117.66
2006-11,117.01
2006-12,115.33
2007-01,118.83
2007-02,120.67
2007-03,117.53
2007-04,117.69
2007-05,119.77
2007-06,122.1
2007-07,122.32
2007-08,118.71
2007-09,115.83
2007-10,115.91
2007-11,114.87
2007-12,110.44
2008-01,109.7
2008-02,106.3
2008-03,103.57
2008-04,101.77
2008-05,104.04
2008-06,104.41
2008-07,105.73
2008-08,107.59
2008-09,108.85
2008-10,106.06
2008-11,98.95
2008-12,93.71
2009-01,91.12
2009-02,89.86
2009-03,97.17
2009-04,98.93
2009-05,99.24
2009-06,96.53
2009-07,96.41
2009-08,95.23
2009-09,93.09
2009-10,89.73
2009-11,90.56
2009-12,86.62
2010-01,92.55
2010-02,90.8
2010-03,89.28
2010-04,93.83
2010-05,94.68
2010-06,91.16
2010-07,87.42
2010-08,86.42
2010-09,84.48
2010-10,83.3
2010-11,80.66
2010-12,84.0
2011-01,81.56
2011-02,81.48
2011-03,81.86
2011-04,84.05
2011-05,81.23
2011-06,80.82
2011-07,80.81
2011-08,76.87
2011-09,76.81
2011-10,76.66
2011-11,78.28
2011-12,77.6
2012-01,76.67
2012-02,76.11
2012-03,81.16
2012-04,82.16
2012-05,80.17
2012-06,78.21
2012-07,79.42
2012-08,78.19
2012-09,78.35
2012-10,78.0
2012-11,80.14
2012-12,82.24
2013-01,87.1
2013-02,92.54
2013-03,93.38
2013-04,93.3
2013-05,97.28
2013-06,99.18
2013-07,99.62
2013-08,99.3
2013-09,99.43
2013-10,98.05
2013-11,98.78
2013-12,103.04
2014-01,104.84
2014-02,101.11
2014-03,101.36
2014-04,103.52
2014-05,102.3
2014-06,102.3
2014-07,101.51
2014-08,102.45
2014-09,105.1
2014-10,109.3
2014-11,113.92
2014-12,118.14
2015-01,120.2
2015-02,117.33
2015-03,120.06
2015-04,119.62
2015-05,120.21
2015-06,124.64
2015-07,123.02
2015-08,123.98
2015-09,119.94
2015-10,119.58
2015-11,120.7
2015-12,122.88
2016-01,119.3
2016-02,121.06
2016-03,113.94
2016-04,112.06
2016-05,106.48
2016-06,109.55
2016-07,102.55
2016-08,102.26
2016-09,103.22
2016-10,101.54
2016-11,104.59
2016-12,114.34
2017-01,117.68
2017-02,113.29
2017-03,113.66
2017-04,110.96
2017-05,111.78
2017-06,111.24
2017-07,113.32
2017-08,110.33
2017-09,110.09
2017-10,112.6
2017-11,114.04
2017-12,111.88
2018-01,112.18
2018-02,109.5
2018-03,106.91
2018-04,105.99
2018-05,109.69
2018-06,109.49
2018-07,110.73
2018-08,111.72
2018-09,111.44
2018-10,113.96
2018-11,112.79
2018-12,113.54
2019-01,109.22
2019-02,109.55
2019-03,111.89
2019-04,111.29
2019-05,111.18
2019-06,108.39
2019-07,108.42
2019-08,108.28
2019-09,105.88
2019-10,107.7
2019-11,108.16
2019-12,109.09
2020-01,108.43
2020-02,108.59
2020-03,108.02
2020-04,107.05
2020-05,106.76
2020-06,107.56
2020-07,107.5
2020-08,106.11
2020-09,106.0
2020-10,105.53
2020-11,104.8
2020-12,104.4
2021-01,103.19
2021-02,104.97
2021-03,106.68
2021-04,110.61
2021-05,109.08
2021-06,109.43
2021-07,111.56
2021-08,109.22
2021-09,110.03
2021-10,110.97
2021-11,114.19
2021-12,112.82
2022-01,115.27
2022-02,114.77
2022-03,114.87
2022-04,122.6
2022-05,130.18
2022-06,130.09
2022-07,135.09
2022-08,131.8
2022-09,139.93
2022-10,144.5
2022-11,148.11
2022-12,135.55
2023-01,130.83
2023-02,129.27
2023-03,135.82
2023-04,132.35
2023-05,137.35
2023-06,138.74
2023-07,144.5
2023-08,143.34
2023-09,146.2
2023-10,149.8
2023-11,150.96
2023-12,147.0
2024-01,141.89
2024-02,146.18
