month,exchange_value
2003-01,1.4015
2003-02,1.3631
2003-03,1.3468
2003-04,1.3537
2003-05,1.342
2003-06,1.2973
2003-07,1.3412
2003-08,1.3668
2003-09,1.4125
2003-10,1.3148
2003-11,1.3607
2003-12,1.3003
2004-01,1.239
2004-02,1.2628
2004-03,1.2703
2004-04,1.2627
2004-05,1.301
2004-06,1.251
2004-07,1.2509
2004-08,1.2784
2004-09,1.2615
2004-10,1.2496
2004-11,1.2028
2004-12,1.144
2005-01,1.1466
2005-02,1.1937
2005-03,1.1654
2005-04,1.2042
2005-05,1.198
2005-06,1.2529
2005-07,1.2965
2005-08,1.278
2005-09,1.24
2005-10,1.3022
2005-11,1.2903
2005-12,1.321
2006-01,1.2938
2006-02,1.2841
2006-03,1.3165
2006-04,1.3044
2006-05,1.2386
2006-06,1.2197
2006-07,1.2253
2006-08,1.2317
2006-09,1.2308
2006-10,1.2426
2006-11,1.2433
2006-12,1.1947
2007-01,1.2125
2007-02,1.2427
2007-03,1.2226
2007-04,1.2139
2007-05,1.2151
2007-06,1.2299
2007-07,1.2112
2007-08,1.2013
2007-09,1.2071
2007-10,1.1683
2007-11,1.1591
2007-12,1.1291
2008-01,1.1174
2008-02,1.0821
2008-03,1.0431
2008-04,1.0108
2008-05,1.0478
2008-06,1.0379
2008-07,1.0183
2008-08,1.048
2008-09,1.107
2008-10,1.1209
2008-11,1.1681
2008-12,1.2076
2009-01,1.0685
2009-02,1.164
2009-03,1.1723
2009-04,1.1465
2009-05,1.1364
2009-06,1.0688
2009-07,1.072
2009-08,1.0578
2009-09,1.0653
2009-10,1.0424
2009-11,1.0177
2009-12,0.9984
2010-01,1.0294
2010-02,1.0586
2010-03,1.0827
2010-04,1.0559
2010-05,1.0868
2010-06,1.1548
2010-07,1.0675
2010-08,1.0379
2010-09,1.0149
2010-10,0.9761
2010-11,0.9935
2010-12,0.9997
2011-01,0.9329
2011-02,0.9388
2011-03,0.9284
2011-04,0.9243
2011-05,0.864
2011-06,0.8401
2011-07,0.8479
2011-08,0.7813
2011-09,0.7951
2011-10,0.9151
2011-11,0.8901
2011-12,0.9135
2012-01,0.9319
2012-02,0.9141
2012-03,0.9051
2012-04,0.9037
2012-05,0.9087
2012-06,0.9671
2012-07,0.9544
2012-08,0.9767
2012-09,0.9558
2012-10,0.9376
2012-11,0.9326
2012-12,0.925
2013-01,0.9166
2013-02,0.903
2013-03,0.9448
2013-04,0.946
2013-05,0.9268
2013-06,0.9442
2013-07,0.9452
2013-08,0.9353
2013-09,0.9363
2013-10,0.9064
2013-11,0.9124
2013-12,0.9076
2014-01,0.8998
2014-02,0.9014
2014-03,0.881
2014-04,0.8825
2014-05,0.8797
2014-06,0.898
2014-07,0.8871
2014-08,0.9048
2014-09,0.9196
2014-10,0.9566
2014-11,0.9655
2014-12,0.9631
2015-01,1.0004
2015-02,0.9262
2015-03,0.9553
2015-04,0.9671
2015-05,0.934
2015-06,0.9467
2015-07,0.9456
2015-08,0.9682
2015-09,0.9622
2015-10,0.9744
2015-11,0.9853
2015-12,1.0296
2016-01,1.0042
2016-02,1.0202
2016-03,0.9994
2016-04,0.9588
2016-05,0.9556
2016-06,0.9892
2016-07,0.973
2016-08,0.9671
2016-09,0.9792
2016-10,0.974
2016-11,0.979
2016-12,1.0126
2017-01,1.0266
2017-02,0.993
2017-03,1.0072
2017-04,1.0029
2017-05,0.9955
2017-06,0.9712
2017-07,0.9632
2017-08,0.9655
2017-09,0.9626
2017-10,0.9737
2017-11,1.0014
2017-12,0.9762
2018-01,0.9718
2018-02,0.9288
2018-03,0.9461
2018-04,0.9558
2018-05,0.9954
2018-06,0.9867
2018-07,0.9946
2018-08,0.9923
2018-09,0.9753
2018-10,0.984
2018-11,1.0033
2018-12,0.9975
2019-01,0.9884
2019-02,0.994
2019-03,0.9987
2019-04,0.9988
2019-05,1.0137
2019-06,0.9994
2019-07,0.9864
2019-08,0.9938
2019-09,0.9872
2019-10,0.9936
2019-11,0.9855
2019-12,0.992
2020-01,0.9721
2020-02,0.9655
2020-03,0.9577
2020-04,0.9675
2020-05,0.9599
2020-06,0.9613
2020-07,0.9455
2020-08,0.9194
2020-09,0.9072
2020-10,0.9179
2020-11,0.92
2020-12,0.9005
2021-01,0.8811
2021-02,0.8965
2021-03,0.9138
2021-04,0.9409
2021-05,0.9116
2021-06,0.8954
2021-07,0.9253
2021-08,0.9051
2021-09,0.9145
2021-10,0.9297
2021-11,0.9105
2021-12,0.9195
2022-01,0.9188
2022-02,0.9231
2022-03,0.9186
2022-04,0.9256
2022-05,0.977
2022-06,0.9644
2022-07,0.9623
2022-08,0.9486
2022-09,0.9838
2022-10,0.9929
2022-11,0.9995
2022-12,0.9377
2023-01,0.9368
2023-02,0.9147
2023-03,0.9387
2023-04,0.913
2023-05,0.8961
2023-06,0.9077
2023-07,0.8956
2023-08,0.8763
2023-09,0.8857
2023-10,0.9176
2023-11,0.9103
2023-12,0.8706
2024-01,0.8483
2024-02,0.8579
