HDI_rank,Country,1990,2000,2010,2015,2020,2021,2022,2023,Change_in_HDI_rank_2015_2023,Avg_annual_growth_1990_2000,Avg_annual_growth_2000_2010,Avg_annual_growth_2010_2023,Avg_annual_growth_1990_2023
1.0,Iceland,0.841,,0.902,0.935,0.956,0.965,0.967,0.964,0.972,2.0,0.7026859336648261,0.35996642080171615,0.29897893911785545
2.0,Norway,0.856,,0.924,0.947,0.959,0.969,0.969,0.967,0.97,-1.0,0.7673460802246623,0.2461727241336087,0.18476261702793373
2.0,Switzerland,0.858,,0.892,0.945,0.957,0.963,0.968,0.966,0.97,0.0,0.3893764388742893,0.5788568882071798,0.20105680255537717
4.0,Denmark,0.844,,0.896,0.92,0.943,0.954,0.958,0.959,0.962,2.0,0.5996700486722961,0.2646822372474933,0.3439808812043976
5.0,Germany,0.834,,0.897,0.936,0.948,0.955,0.958,0.955,0.959,-1.0,0.7308826004798874,0.4265030907644629,0.18690983142446438
5.0,Sweden,0.818,,0.912,0.918,0.945,0.951,0.958,0.959,0.959,0.0,1.0937143341288147,0.06559550991274143,0.33667073064616027
7.0,Australia,0.867,,0.897,0.929,0.938,0.95,0.954,0.952,0.958,1.0,0.34074808362596354,0.35114383809125016,0.23673392064911258
8.0,"Hong Kong, China (SAR)",0.755,,0.839,0.912,0.937,0.95,0.961,0.95,0.955,2.0,1.060513572676558,0.8377827573893271,0.35502372471725163
8.0,Netherlands,0.855,,0.9,0.925,0.94,0.945,0.951,0.953,0.955,-1.0,0.5142506969999738,0.274365436817936,0.24582167005877675
10.0,Belgium,0.824,,0.894,0.921,0.933,0.939,0.948,0.945,0.951,3.0,0.818685503295602,0.29798570820305237,0.24687366542375244
11.0,Ireland,0.776,,0.869,0.915,0.931,0.948,0.946,0.947,0.949,4.0,1.1383363460927498,0.5171419870050986,0.28104599071618885
12.0,Finland,0.823,,0.898,0.92,0.938,0.947,0.949,0.946,0.948,-4.0,0.8759528859401344,0.24232916103414937,0.23088792283745274
13.0,Singapore,0.819,,0.882,0.932,0.935,0.944,0.948,0.942,0.946,-2.0,0.743832513231002,0.5529306365389841,0.11475621281331616
13.0,United Kingdom,0.812,,0.87,0.921,0.931,0.93,0.941,0.946,0.946,2.0,0.6923142059345189,0.571293941176565,0.20623184900090408
15.0,United Arab Emirates,0.713,,0.79,0.835,0.857,0.909,0.903,0.921,0.94,27.0,1.0307916795492922,0.5555251438761344,0.9153031311160076
16.0,Canada,0.865,,0.894,0.918,0.932,0.931,0.937,0.935,0.939,-2.0,0.33030699770169036,0.265267367385702,0.17413673906292448
17.0,Liechtenstein,,,0.882,0.914,0.925,0.929,0.933,0.936,0.938,1.0,,0.3570209614480957,0.19957872106406427
17.0,New Zealand,0.811,,0.896,0.926,0.934,0.94,0.939,0.933,0.938,-5.0,1.0017074227431255,0.3298811308617422,0.09909302133965792
17.0,United States,0.878,,0.895,0.919,0.928,0.925,0.921,0.93,0.938,0.0,0.19195524505215555,0.2649744792698083,0.157538012110936
20.0,Korea (Republic of),0.738,,0.83,0.894,0.914,0.928,0.933,0.928,0.937,1.0,1.1817468618084748,0.7455663519656763,0.36201915105589233
21.0,Slovenia,0.734,,0.829,0.896,0.909,0.918,0.924,0.926,0.931,2.0,1.2245482056870705,0.7802306372694856,0.29519534052413476
22.0,Austria,0.832,,0.879,0.912,0.919,0.925,0.93,0.927,0.93,-3.0,0.5510372244331263,0.369230907914897,0.1504561185317499
23.0,Japan,0.853,,0.889,0.907,0.917,0.922,0.922,0.921,0.925,-3.0,0.41423246096585764,0.20065318563349255,0.15127805919645798
24.0,Malta,0.735,,0.79,0.867,0.892,0.903,0.914,0.917,0.924,5.0,0.7242344461228623,0.9343988139190573,0.49099448422422753
25.0,Luxembourg,0.787,,0.861,0.909,0.913,0.916,0.918,0.922,0.922,-3.0,0.9027126552263454,0.5439801254604637,0.1092914440742776
26.0,France,0.798,,0.852,0.888,0.901,0.909,0.915,0.916,0.92,-1.0,0.6569276598720419,0.41470971227617337,0.27269365035713644
27.0,Israel,0.787,,0.839,0.889,0.902,0.912,0.918,0.921,0.919,-3.0,0.6418758304339356,0.580543953091528,0.2556252952869542
28.0,Spain,0.766,,0.833,0.875,0.895,0.901,0.912,0.911,0.918,0.0,0.8420401057015026,0.49311426815568105,0.3697086986860443
29.0,Czechia,0.753,,0.817,0.88,0.9,0.898,0.901,0.911,0.915,-3.0,0.8190748839186579,0.7455939384164001,0.3004670986960001
29.0,Italy,0.787,,0.849,0.887,0.889,0.899,0.908,0.905,0.915,1.0,0.7611918258589867,0.4388179585799401,0.23935586884780147
29.0,San Marino,,,0.881,0.905,0.896,0.895,0.903,0.91,0.915,-2.0,,0.2691346965586261,0.08456744254221604
32.0,Andorra,,,0.825,0.87,0.869,0.851,0.871,0.893,0.913,3.0,,0.5325110799707655,0.3717868725749307
32.0,Cyprus,0.749,,0.808,0.869,0.882,0.905,0.907,0.908,0.913,1.0,0.7611125984726907,0.7304656464461878,0.3806669750141989
34.0,Greece,0.77,,0.828,0.876,0.888,0.896,0.897,0.897,0.908,-3.0,0.7288698144565231,0.5651201790703109,0.2763680224395326
35.0,Poland,0.722,,0.801,0.852,0.879,0.88,0.884,0.902,0.906,-1.0,1.0437677269013568,0.6191647468868355,0.47383274001675524
36.0,Estonia,0.738,,0.793,0.868,0.888,0.901,0.899,0.902,0.905,-5.0,0.7213834949334252,0.9077804902106967,0.3216178457872143
37.0,Saudi Arabia,0.67,,0.737,0.801,0.851,0.875,0.878,0.893,0.9,9.0,0.9576582776886999,0.8362073938407377,0.9004437935348886
38.0,Bahrain,0.734,,0.775,0.81,0.868,0.885,0.885,0.902,0.899,-1.0,0.5450198660795991,0.4426891693544155,0.805137684902224
39.0,Lithuania,0.745,,0.778,0.854,0.869,0.888,0.887,0.888,0.895,-4.0,0.43436369421141485,0.9364037774774792,0.36136307449390337
40.0,Portugal,0.707,,0.797,0.836,0.857,0.87,0.876,0.883,0.89,2.0,1.2054477855449441,0.4788823367960937,0.48264445296981595
41.0,Croatia,,,0.769,0.831,0.852,0.867,0.876,0.886,0.889,4.0,,0.7784021730396384,0.5203293483158289
41.0,Latvia,0.736,,0.764,0.833,0.859,0.879,0.871,0.881,0.889,-1.0,0.37407462354548393,0.8684074993416058,0.5017437187582852
43.0,Qatar,0.767,,0.795,0.834,0.86,0.872,0.866,0.883,0.886,-4.0,0.3591967035672994,0.48006149766179895,0.46634206925078026
44.0,Slovakia,0.698,,0.774,0.851,0.861,0.867,0.859,0.873,0.88,-6.0,1.0388870534183914,0.9529141382127904,0.25810003612518617
45.0,Chile,0.718,,0.771,0.823,0.855,0.856,0.865,0.869,0.878,-1.0,0.7147301354470947,0.6548128572317236,0.4988585840288051
